127.0.0.1, 2015-11-11 13:50:55, GET, /admin/static/_2.12.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002123
127.0.0.1, 2015-11-11 13:50:55, GET, /admin/static/_2.12.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.001953
127.0.0.1, 2015-11-11 13:50:55, GET, /admin/static/_2.12.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002515
127.0.0.1, 2015-11-11 13:50:55, GET, /admin/static/_2.12.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001558
127.0.0.1, 2015-11-11 13:50:55, GET, /admin/static/_2.12.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002465
127.0.0.1, 2015-11-11 13:50:55, GET, /admin/static/_2.12.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002461
127.0.0.1, 2015-11-11 13:50:55, GET, /admin/static/_2.12.3/js/bootstrap.min.js, HTTP/1.1, 200, 0.001097
127.0.0.1, 2015-11-11 13:50:55, GET, /admin/static/_2.12.3/images/questions.png, HTTP/1.1, 200, 0.000537
127.0.0.1, 2015-11-11 13:50:55, GET, /admin/static/_2.12.3/images/folder_locked.png, HTTP/1.1, 200, 0.001728
127.0.0.1, 2015-11-11 13:50:55, GET, /admin/static/_2.12.3/images/folder.png, HTTP/1.1, 200, 0.001763
127.0.0.1, 2015-11-11 13:50:55, GET, /admin/static/_2.12.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001105
127.0.0.1, 2015-11-11 13:50:55, GET, /ucmag/default/index, HTTP/1.1, 200, 0.028626
127.0.0.1, 2015-11-11 13:50:56, GET, /ucmag/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001741
127.0.0.1, 2015-11-11 13:50:56, GET, /ucmag/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.003346
127.0.0.1, 2015-11-11 13:50:56, GET, /ucmag/static/js/jquery.js, HTTP/1.1, 304, 0.000890
127.0.0.1, 2015-11-11 13:50:56, GET, /ucmag/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001813
127.0.0.1, 2015-11-11 13:50:56, GET, /ucmag/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001884
127.0.0.1, 2015-11-11 13:50:56, GET, /ucmag/static/css/calendar.css, HTTP/1.1, 304, 0.002356
127.0.0.1, 2015-11-11 13:50:56, GET, /ucmag/static/js/calendar.js, HTTP/1.1, 304, 0.000746
127.0.0.1, 2015-11-11 13:50:56, GET, /ucmag/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000979
127.0.0.1, 2015-11-11 13:50:56, GET, /ucmag/static/js/web2py.js, HTTP/1.1, 304, 0.002086
127.0.0.1, 2015-11-11 13:50:56, GET, /ucmag/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000980
127.0.0.1, 2015-11-11 13:50:56, GET, /ucmag/static/js/share.js, HTTP/1.1, 304, 0.001127
127.0.0.1, 2015-11-11 13:50:56, GET, /ucmag/static/images/gplus-32.png, HTTP/1.1, 304, 0.000666
127.0.0.1, 2015-11-11 13:50:56, GET, /ucmag/static/images/twitter.png, HTTP/1.1, 304, 0.001540
127.0.0.1, 2015-11-11 13:50:56, GET, /ucmag/static/images/facebook.png, HTTP/1.1, 304, 0.000868
127.0.0.1, 2015-11-11 13:50:56, GET, /ucmag/default/index, HTTP/1.1, 200, 0.030127
127.0.0.1, 2015-11-11 13:50:56, GET, /ucmag/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001529
